,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
32,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,4724,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
33,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,4726,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
34,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,4774,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
35,1,Brasil,1572,Mil pessoas,154180,1,Brasil,201202,2º trimestre 2012,1641,Pessoas de 14 anos ou mais de idade,6794,Total
36,1,Brasil,2,%,0.0,1,Brasil,201202,2º trimestre 2012,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,6794,Total
37,1,Brasil,2,%,100.0,1,Brasil,201202,2º trimestre 2012,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
38,1,Brasil,2,%,-,1,Brasil,201202,2º trimestre 2012,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
39,1,Brasil,1572,Mil pessoas,97010,1,Brasil,201202,2º trimestre 2012,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
40,1,Brasil,2,%,0.2,1,Brasil,201202,2º trimestre 2012,4089,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
41,1,Brasil,2,%,100.0,1,Brasil,201202,2º trimestre 2012,4106,"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
42,1,Brasil,2,%,-,1,Brasil,201202,2º trimestre 2012,4107,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
43,1,Brasil,1572,Mil pessoas,89647,1,Brasil,201202,2º trimestre 2012,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
44,1,Brasil,2,%,0.2,1,Brasil,201202,2º trimestre 2012,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
45,1,Brasil,2,%,100.0,1,Brasil,201202,2º trimestre 2012,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
46,1,Brasil,2,%,-,1,Brasil,201202,2º trimestre 2012,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
47,1,Brasil,1572,Mil pessoas,7363,1,Brasil,201202,2º trimestre 2012,4092,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
48,1,Brasil,2,%,1.0,1,Brasil,201202,2º trimestre 2012,4093,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
49,1,Brasil,2,%,100.0,1,Brasil,201202,2º trimestre 2012,4110,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
50,1,Brasil,2,%,-,1,Brasil,201202,2º trimestre 2012,4111,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
51,1,Brasil,1572,Mil pessoas,57169,1,Brasil,201202,2º trimestre 2012,4094,"Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
52,1,Brasil,2,%,0.3,1,Brasil,201202,2º trimestre 2012,4095,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
53,1,Brasil,2,%,100.0,1,Brasil,201202,2º trimestre 2012,4112,"Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
54,1,Brasil,2,%,-,1,Brasil,201202,2º trimestre 2012,4113,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
55,1,Brasil,2,%,62.9,1,Brasil,201202,2º trimestre 2012,4096,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
56,1,Brasil,2,%,0.2,1,Brasil,201202,2º trimestre 2012,4100,"Coeficiente de variação - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
57,1,Brasil,2,%,58.1,1,Brasil,201202,2º trimestre 2012,4097,"Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
58,1,Brasil,2,%,0.2,1,Brasil,201202,2º trimestre 2012,4101,"Coeficiente de variação - Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
59,1,Brasil,2,%,4.8,1,Brasil,201202,2º trimestre 2012,4098,"Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
60,1,Brasil,2,%,1.0,1,Brasil,201202,2º trimestre 2012,4102,"Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
61,1,Brasil,2,%,7.6,1,Brasil,201202,2º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
62,1,Brasil,2,%,1.0,1,Brasil,201202,2º trimestre 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
63,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
64,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,12467,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
65,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,4723,"Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
66,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,4724,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
67,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,4726,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
68,1,Brasil,,,...,1,Brasil,201202,2º trimestre 2012,4774,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
69,1,Brasil,1572,Mil pessoas,154758,1,Brasil,201203,3º trimestre 2012,1641,Pessoas de 14 anos ou mais de idade,6794,Total
70,1,Brasil,2,%,0.0,1,Brasil,201203,3º trimestre 2012,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,6794,Total
71,1,Brasil,2,%,100.0,1,Brasil,201203,3º trimestre 2012,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
72,1,Brasil,2,%,-,1,Brasil,201203,3º trimestre 2012,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
73,1,Brasil,1572,Mil pessoas,97261,1,Brasil,201203,3º trimestre 2012,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
74,1,Brasil,2,%,0.2,1,Brasil,201203,3º trimestre 2012,4089,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
75,1,Brasil,2,%,100.0,1,Brasil,201203,3º trimestre 2012,4106,"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
76,1,Brasil,2,%,-,1,Brasil,201203,3º trimestre 2012,4107,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
77,1,Brasil,1572,Mil pessoas,90320,1,Brasil,201203,3º trimestre 2012,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
78,1,Brasil,2,%,0.2,1,Brasil,201203,3º trimestre 2012,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
79,1,Brasil,2,%,100.0,1,Brasil,201203,3º trimestre 2012,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
80,1,Brasil,2,%,-,1,Brasil,201203,3º trimestre 2012,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
81,1,Brasil,1572,Mil pessoas,6942,1,Brasil,201203,3º trimestre 2012,4092,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
82,1,Brasil,2,%,1.1,1,Brasil,201203,3º trimestre 2012,4093,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
83,1,Brasil,2,%,100.0,1,Brasil,201203,3º trimestre 2012,4110,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
84,1,Brasil,2,%,-,1,Brasil,201203,3º trimestre 2012,4111,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
85,1,Brasil,1572,Mil pessoas,57496,1,Brasil,201203,3º trimestre 2012,4094,"Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
86,1,Brasil,2,%,0.3,1,Brasil,201203,3º trimestre 2012,4095,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
87,1,Brasil,2,%,100.0,1,Brasil,201203,3º trimestre 2012,4112,"Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
88,1,Brasil,2,%,-,1,Brasil,201203,3º trimestre 2012,4113,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
89,1,Brasil,2,%,62.8,1,Brasil,201203,3º trimestre 2012,4096,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
90,1,Brasil,2,%,0.2,1,Brasil,201203,3º trimestre 2012,4100,"Coeficiente de variação - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
91,1,Brasil,2,%,58.4,1,Brasil,201203,3º trimestre 2012,4097,"Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
92,1,Brasil,2,%,0.2,1,Brasil,201203,3º trimestre 2012,4101,"Coeficiente de variação - Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
93,1,Brasil,2,%,4.5,1,Brasil,201203,3º trimestre 2012,4098,"Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
94,1,Brasil,2,%,1.1,1,Brasil,201203,3º trimestre 2012,4102,"Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
95,1,Brasil,2,%,7.1,1,Brasil,201203,3º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
96,1,Brasil,2,%,1.1,1,Brasil,201203,3º trimestre 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
97,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
98,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,12467,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
99,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,4723,"Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
100,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,4724,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
101,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,4726,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
102,1,Brasil,,,...,1,Brasil,201203,3º trimestre 2012,4774,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
103,1,Brasil,1572,Mil pessoas,155330,1,Brasil,201204,4º trimestre 2012,1641,Pessoas de 14 anos ou mais de idade,6794,Total
104,1,Brasil,2,%,0.0,1,Brasil,201204,4º trimestre 2012,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,6794,Total
105,1,Brasil,2,%,100.0,1,Brasil,201204,4º trimestre 2012,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
106,1,Brasil,2,%,-,1,Brasil,201204,4º trimestre 2012,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
107,1,Brasil,1572,Mil pessoas,97322,1,Brasil,201204,4º trimestre 2012,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
108,1,Brasil,2,%,0.2,1,Brasil,201204,4º trimestre 2012,4089,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
109,1,Brasil,2,%,100.0,1,Brasil,201204,4º trimestre 2012,4106,"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
110,1,Brasil,2,%,-,1,Brasil,201204,4º trimestre 2012,4107,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
111,1,Brasil,1572,Mil pessoas,90593,1,Brasil,201204,4º trimestre 2012,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
112,1,Brasil,2,%,0.2,1,Brasil,201204,4º trimestre 2012,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
113,1,Brasil,2,%,100.0,1,Brasil,201204,4º trimestre 2012,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
114,1,Brasil,2,%,-,1,Brasil,201204,4º trimestre 2012,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
115,1,Brasil,1572,Mil pessoas,6730,1,Brasil,201204,4º trimestre 2012,4092,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
116,1,Brasil,2,%,1.1,1,Brasil,201204,4º trimestre 2012,4093,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
117,1,Brasil,2,%,100.0,1,Brasil,201204,4º trimestre 2012,4110,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
118,1,Brasil,2,%,-,1,Brasil,201204,4º trimestre 2012,4111,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
119,1,Brasil,1572,Mil pessoas,58007,1,Brasil,201204,4º trimestre 2012,4094,"Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
120,1,Brasil,2,%,0.3,1,Brasil,201204,4º trimestre 2012,4095,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
121,1,Brasil,2,%,100.0,1,Brasil,201204,4º trimestre 2012,4112,"Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
122,1,Brasil,2,%,-,1,Brasil,201204,4º trimestre 2012,4113,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
123,1,Brasil,2,%,62.7,1,Brasil,201204,4º trimestre 2012,4096,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
124,1,Brasil,2,%,0.2,1,Brasil,201204,4º trimestre 2012,4100,"Coeficiente de variação - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
125,1,Brasil,2,%,58.3,1,Brasil,201204,4º trimestre 2012,4097,"Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
126,1,Brasil,2,%,0.2,1,Brasil,201204,4º trimestre 2012,4101,"Coeficiente de variação - Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
127,1,Brasil,2,%,4.3,1,Brasil,201204,4º trimestre 2012,4098,"Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
128,1,Brasil,2,%,1.1,1,Brasil,201204,4º trimestre 2012,4102,"Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
129,1,Brasil,2,%,6.9,1,Brasil,201204,4º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
130,1,Brasil,2,%,1.1,1,Brasil,201204,4º trimestre 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
131,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
132,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,12467,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
133,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,4723,"Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
134,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,4724,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
135,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,4726,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
136,1,Brasil,,,...,1,Brasil,201204,4º trimestre 2012,4774,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
137,1,Brasil,1572,Mil pessoas,155902,1,Brasil,201301,1º trimestre 2013,1641,Pessoas de 14 anos ou mais de idade,6794,Total
138,1,Brasil,2,%,0.0,1,Brasil,201301,1º trimestre 2013,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,6794,Total
139,1,Brasil,2,%,100.0,1,Brasil,201301,1º trimestre 2013,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
140,1,Brasil,2,%,-,1,Brasil,201301,1º trimestre 2013,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
141,1,Brasil,1572,Mil pessoas,97554,1,Brasil,201301,1º trimestre 2013,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
142,1,Brasil,2,%,0.2,1,Brasil,201301,1º trimestre 2013,4089,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
143,1,Brasil,2,%,100.0,1,Brasil,201301,1º trimestre 2013,4106,"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
144,1,Brasil,2,%,-,1,Brasil,201301,1º trimestre 2013,4107,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
145,1,Brasil,1572,Mil pessoas,89688,1,Brasil,201301,1º trimestre 2013,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
146,1,Brasil,2,%,0.2,1,Brasil,201301,1º trimestre 2013,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
147,1,Brasil,2,%,100.0,1,Brasil,201301,1º trimestre 2013,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
148,1,Brasil,2,%,-,1,Brasil,201301,1º trimestre 2013,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
149,1,Brasil,1572,Mil pessoas,7866,1,Brasil,201301,1º trimestre 2013,4092,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
150,1,Brasil,2,%,1.0,1,Brasil,201301,1º trimestre 2013,4093,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
151,1,Brasil,2,%,100.0,1,Brasil,201301,1º trimestre 2013,4110,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
152,1,Brasil,2,%,-,1,Brasil,201301,1º trimestre 2013,4111,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
153,1,Brasil,1572,Mil pessoas,58348,1,Brasil,201301,1º trimestre 2013,4094,"Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
154,1,Brasil,2,%,0.3,1,Brasil,201301,1º trimestre 2013,4095,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
155,1,Brasil,2,%,100.0,1,Brasil,201301,1º trimestre 2013,4112,"Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
156,1,Brasil,2,%,-,1,Brasil,201301,1º trimestre 2013,4113,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
157,1,Brasil,2,%,62.6,1,Brasil,201301,1º trimestre 2013,4096,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
